Date,Company,earnings_summary,Source
11-04-2022,TCS,"TCS reported its highest-ever annual revenue with strong quarterly performance, driven by large deal wins and broad-based growth across sectors. Digital services remained the key growth driver, contributing a significant share of revenue. Operating margins were slightly impacted by increased hiring and salary hikes but remained within a stable range. The company reported strong order bookings, ensuring revenue visibility for future quarters. Management highlighted continued demand for transformation programs, particularly in cloud and enterprise modernization. However, early signs of macro uncertainty emerged, with clients showing caution in discretionary spending. Overall, the quarter reflected peak growth conditions, with TCS delivering strong financial performance while beginning to prepare for potential moderation in demand.",Company Filings
13-04-2022,INFY,"INFY reported strong quarterly and annual performance with significant growth driven by digital transformation demand. Large deal bookings remained robust, ensuring revenue visibility. Operating margins faced slight pressure due to wage hikes and hiring costs. Management highlighted continued strong demand across sectors but noted early signs of macroeconomic uncertainty. The company maintained strong cash generation and shareholder returns. Digital services accounted for a large share of revenue, indicating successful strategic transformation. Overall, the quarter represented peak performance for INFY, supported by strong global IT spending, while management began preparing for potential demand moderation.",Company Filings
22-04-2022,Reliance Industries,"Reliance Industries reported strong annual and quarterly performance with significant contribution from all business segments. The O2C segment benefited from higher refining margins and strong global demand, driving profitability. Jio and retail businesses continued to deliver consistent growth, contributing a larger share to overall earnings. The company maintained strong cash generation and continued investments in new energy initiatives, including solar and hydrogen projects. Management emphasized long-term strategy of reducing dependence on fossil fuels and expanding into clean energy. Overall, the quarter reflected peak performance driven by favorable energy cycle and strong execution in digital and retail segments, positioning Reliance for future growth.",Company Filings
16-07-2022,HDFC Bank,"HDFC Bank delivered strong quarterly earnings supported by robust loan growth and stable margins. Retail lending remained the primary growth driver, while corporate lending showed gradual recovery. Asset quality improved further with declining NPAs and strong provisioning buffers. The bank maintained strong liquidity and capital adequacy, supporting future growth. Management highlighted improving economic conditions and rising credit demand across sectors. Digital banking continued to expand, contributing to operational efficiency and customer engagement. The bank also focused on cross-selling and deepening relationships with existing customers. Overall, the quarter reflected strong execution, improved asset quality, and a stable growth trajectory, reinforcing HDFC Bank’s position as a leading private sector lender. (HDFC Bank)",Company Filings
23-07-2022,ICICI Bank,"ICICI Bank reported strong earnings growth supported by robust loan expansion and stable margins. Retail and SME segments continued to drive growth, while corporate lending showed gradual improvement. Asset quality strengthened further with declining NPAs and lower credit costs. The bank maintained strong deposit growth, supporting balance sheet expansion. Management emphasized disciplined underwriting and focus on high-quality assets. Digital initiatives continued to enhance efficiency and customer experience. Operating performance remained strong, with improving return ratios. Overall, the quarter reflected consistent growth and strengthening fundamentals, positioning ICICI Bank as a leading performer in the banking sector.",Economic Times
15-04-2023,HDFC Bank,"HDFC Bank reported steady earnings growth with strong net interest income supported by robust loan growth and stable margins. Asset quality remained strong with low NPAs and controlled slippages. The bank focused on maintaining a balanced loan portfolio with continued emphasis on retail lending. Management highlighted preparations for the upcoming merger with HDFC Ltd, including alignment of systems, processes, and balance sheet structures. Deposit growth remained stable, though competition for deposits increased. The bank continued investing in digital infrastructure and expanding its branch network. Overall, the quarter reflected stable performance ahead of a major structural transition, with the bank maintaining strong fundamentals and preparing for large-scale integration.",Reuters
22-04-2023,ICICI Bank,"ICICI Bank reported strong quarterly performance with significant growth in net profit driven by robust net interest income and controlled credit costs. Loan growth remained strong across retail and corporate segments, supported by improving economic conditions. Asset quality remained stable with low NPAs and strong provisioning coverage. The bank continued to benefit from strong demand for retail loans and improved operating efficiency. Management highlighted focus on maintaining growth while preserving asset quality. Digital banking and analytics-driven lending continued to support business expansion. Overall, the quarter reflected strong fundamentals and consistent execution, with ICICI Bank maintaining its leadership in profitability and growth.",Mint
12-07-2023,TCS,"TCS reported moderate revenue growth with signs of slowdown in global IT demand, particularly in discretionary spending segments. While digital services continued to grow, clients became more cautious in decision-making due to macroeconomic uncertainties. Operating margins remained stable but faced pressure from wage inflation and lower utilization. The company continued to report strong deal wins, though conversion cycles lengthened. Management emphasized focus on cost control, efficiency, and large deal execution. BFSI and manufacturing sectors remained relatively resilient, while retail and technology segments showed weakness. Overall, the quarter marked the beginning of demand normalization after the post-COVID boom, with TCS maintaining stability despite emerging headwinds. (Tata Consultancy Services)",Company Filings
17-07-2023,HDFC Bank,"HDFC Bank reported its first quarterly results after the merger with HDFC Ltd, reflecting a significantly expanded balance sheet and loan portfolio. Net interest income increased strongly, though margins faced pressure due to higher cost of funds. Asset quality remained stable, but integration challenges impacted operational efficiency. Management highlighted focus on aligning liquidity, systems, and regulatory requirements following the merger. Deposit growth became a key focus area due to increased funding needs. The bank continued to invest in technology and customer integration. Overall, the quarter marked a transformational phase, with strong scale benefits but short-term pressure on margins and efficiency due to integration complexities. (HDFC Bank)",Company Filings
20-07-2023,INFY,"INFY reported moderate earnings growth with clear signs of slowdown in global IT demand, particularly in discretionary spending. Revenue growth declined compared to previous years as clients delayed decision-making amid macroeconomic uncertainty. Operating margins remained stable but faced pressure due to lower utilization and pricing challenges. The company continued to secure large deals, though deal conversion cycles lengthened. Management emphasized cost control and operational efficiency. BFSI segment remained relatively resilient, while retail and technology sectors weakened. Overall, the quarter marked a transition from high-growth phase to normalization, with INFY maintaining stability despite emerging headwinds.",Reuters
21-07-2023,Reliance Industries,"Reliance Industries reported steady earnings with moderate growth as global macroeconomic conditions softened. The O2C segment faced pressure due to lower margins and weaker demand in global markets. However, Jio and retail businesses continued to perform strongly, providing stability to overall earnings. Digital services saw improved monetization, while retail benefited from strong consumer demand and operational efficiencies. Management highlighted focus on cost control and efficiency amid uncertain global environment. Investments in new energy and digital infrastructure continued. Overall, the quarter reflected a shift where consumer and digital businesses played a larger role in sustaining earnings amid weakness in traditional energy operations.",Reuters
11-10-2023,TCS,"TCS reported steady performance with continued deal wins but slower revenue growth due to global macroeconomic challenges. Clients remained cautious on discretionary spending, impacting short-term growth. Digital services continued to drive business, though at a slower pace compared to previous years. Operating margins remained stable, supported by cost optimization initiatives. Management highlighted strong pipeline of large deals and long-term demand for digital transformation. The company focused on improving productivity and managing costs amid uncertain demand environment. Overall, the quarter reflected resilience in execution but highlighted ongoing slowdown in global IT spending, requiring a more cautious growth strategy. (Tata Consultancy Services)",Company Filings
12-10-2023,INFY,"INFY reported steady earnings with continued deal wins but slower revenue growth due to cautious client spending. Digital services remained the core growth driver, though at a slower pace. Operating margins remained stable due to cost optimization measures. Management highlighted strong deal pipeline and long-term demand for digital transformation. However, discretionary spending remained weak across sectors. The company focused on improving productivity and managing costs. Overall, the quarter reflected resilience but highlighted ongoing slowdown in IT spending, requiring a more cautious growth approach.",Business Standard
27-10-2023,Reliance Industries,"Reliance Industries reported stable quarterly performance with continued growth in telecom and retail segments, offsetting weakness in the O2C business. Digital services remained a key driver, supported by subscriber growth and improved pricing. Retail business expanded across formats, contributing significantly to revenue. However, energy segment margins remained under pressure due to global market conditions. Management emphasized long-term investments in renewable energy and digital platforms. The company continued to maintain strong balance sheet and cash flow generation. Overall, the quarter highlighted Reliance’s evolving business mix, with increasing reliance on consumer-facing segments for growth and stability.",Company Filings
11-01-2024,TCS,"TCS reported moderate earnings growth with continued pressure on revenue due to delayed client spending and cautious demand environment. While digital services remained the core growth driver, overall growth slowed compared to previous years. Operating margins were impacted by pricing pressures and lower utilization. The company continued to secure large deals, ensuring long-term visibility despite short-term challenges. Management emphasized focus on cost efficiency, automation, and improving productivity. BFSI sector remained stable, while retail and technology sectors continued to show weakness. Overall, the quarter reflected ongoing normalization in IT spending, with TCS maintaining stability but facing growth headwinds.",Reuters
14-01-2024,HDFC Bank,"HDFC Bank reported stable earnings growth post-merger, though margins remained under pressure due to higher funding costs and liquidity adjustments. Loan growth remained strong, particularly in retail segments, while deposit growth lagged, creating temporary imbalance. Asset quality remained controlled with low NPAs and adequate provisioning. Management emphasized improving deposit mobilization and optimizing balance sheet structure. Integration efforts continued, with focus on cost efficiencies and operational alignment. Digital banking and customer acquisition remained key priorities. Overall, the quarter reflected post-merger stabilization, with the bank navigating short-term challenges while maintaining long-term growth trajectory.",Business Standard
19-01-2024,Reliance Industries,"Reliance Industries reported moderate earnings growth with pressure on margins due to weaker refining margins and global demand slowdown. However, Jio and retail segments continued to deliver steady performance, supporting overall profitability. Digital services saw growth in ARPU and subscriber base, while retail maintained strong revenue growth. The company continued to invest heavily in renewable energy and digital infrastructure. Management highlighted challenges in global energy markets but remained optimistic about long-term growth in consumer businesses. Overall, the quarter reflected a balanced performance, with diversified business model helping offset cyclical pressures in core energy segment.",Reuters
20-01-2024,ICICI Bank,"ICICI Bank reported stable earnings with continued growth in net interest income and steady asset quality. Loan growth remained healthy, supported by retail and SME segments. However, margin pressures began to emerge due to rising cost of funds and competitive deposit environment. The bank maintained strong profitability, supported by operational efficiency and lower credit costs. Management emphasized focus on deposit mobilization and maintaining balance between growth and margins. Digital banking continued to expand, enhancing customer experience. Overall, the quarter reflected a stable performance with early signs of margin normalization after a strong growth cycle.",Business Standard
18-04-2024,INFY,"INFY reported moderate performance with weaker-than-expected outlook due to slowdown in global IT spending. Revenue growth remained subdued as clients reduced discretionary spending and delayed projects. Operating margins faced pressure from pricing challenges and lower utilization. Management highlighted cautious outlook, reflecting uncertain macroeconomic conditions. However, large deal wins provided some visibility for future growth. Digital services continued to support revenues, though growth slowed. Overall, the quarter reflected challenging conditions for the IT sector, with INFY navigating slowdown while maintaining operational stability. (Reuters)",Reuters
20-04-2024,HDFC Bank,"HDFC Bank reported strong profit growth with improved net interest income and stable asset quality. The bank continued to manage post-merger integration effectively, though margin pressures persisted due to cost of funds. Loan growth remained robust across retail and corporate segments. Deposit growth improved gradually, helping ease liquidity concerns. Management highlighted focus on improving operational efficiency and achieving synergy benefits from the merger. The bank also continued investments in digital infrastructure and customer experience. Overall, the quarter reflected improving stability and gradual normalization after the merger, with strong profitability and balanced growth outlook. (ICICI Direct)",Company Filings
22-04-2024,Reliance Industries,"Reliance Industries reported strong quarterly results with revenue growth supported by O2C recovery and continued strength in retail and digital segments. Jio recorded strong profit growth driven by subscriber additions and tariff improvements, while retail delivered improved margins through efficiency gains. However, overall profitability remained impacted by rising costs and global uncertainties. Management highlighted continued investments in renewable energy, including solar manufacturing and hydrogen ecosystem development. Overall, the quarter reflected resilience and diversification, with strong performance in consumer businesses offsetting volatility in energy segment. (Reuters)",Reuters
11-07-2024,TCS,"TCS reported steady revenue growth with continued demand for digital services, though overall growth remained moderate due to global uncertainties. The company benefited from strong deal pipeline and expansion in emerging markets. Operating margins remained stable despite ongoing cost pressures. Management highlighted increasing focus on artificial intelligence and data-driven solutions as key growth areas. Client spending showed signs of stabilization, though discretionary projects remained subdued. The company continued to invest in talent and innovation to support future growth. Overall, the quarter reflected gradual stabilization in demand, with TCS positioning itself for next phase of growth driven by AI and digital transformation. (Tata Consultancy Services)",Company Filings
18-07-2024,INFY,"INFY reported steady earnings with slight improvement in demand conditions and strong deal wins. Revenue growth remained moderate but exceeded expectations, leading the company to raise its annual growth guidance. Digital services and cloud transformation continued to drive business. Operating margins remained stable despite ongoing cost pressures. Management highlighted improving pipeline and stabilization in client spending. Overall, the quarter reflected early signs of recovery, with INFY benefiting from strong execution and improving demand outlook. (Reuters)",Reuters
09-01-2025,TCS,"TCS reported stable earnings with moderate revenue growth supported by steady demand and strong deal wins. The company continued to face pressure from cautious client spending and slower decision-making cycles. Digital services and AI-led solutions emerged as key growth drivers, with increasing adoption across industries. Operating margins remained stable, supported by cost optimization measures. Management highlighted focus on improving efficiency and expanding AI capabilities. Overall, the quarter reflected a stable but slower growth environment, with TCS adapting to structural changes in global IT spending patterns. (Upstox - Online Stock and Share Trading)",Economic Times
16-01-2025,INFY,"INFY reported strong quarterly performance with improved revenue growth and upward revision of annual guidance. Growth was driven by strong performance in financial services and increased demand in the United States market. Large deal wins remained strong, supporting revenue visibility. Operating margins remained stable, supported by cost efficiency measures. Management highlighted improving demand environment and strong client engagement. Overall, the quarter reflected recovery in IT spending, with INFY regaining growth momentum after a period of slowdown. (Reuters)",Reuters
10-04-2025,TCS,"TCS reported steady quarterly performance with moderate revenue growth and stable margins. The company continued to benefit from strong deal pipeline and increasing adoption of AI and automation services. However, overall growth remained constrained by macroeconomic uncertainties and cautious client spending. Management emphasized focus on long-term growth drivers, including AI, cloud, and enterprise transformation. The company maintained strong cash flows and continued shareholder returns through dividends. Overall, the quarter reflected stable execution in a challenging environment, with TCS gradually transitioning toward AI-led growth strategy while managing near-term demand pressures. (Tata Consultancy Services)",Company Filings
19-04-2025,ICICI Bank,"ICICI Bank reported strong quarterly earnings with record net profit driven by healthy loan growth and strong net interest income. Loan growth remained robust, particularly in retail segments, while asset quality stayed stable with low NPAs. However, net interest margins showed slight compression due to rising deposit costs. The bank maintained strong capital adequacy and liquidity. Management highlighted continued focus on growth, efficiency, and risk management. Strong deal pipeline and customer acquisition supported future growth visibility. Overall, the quarter reflected strong operational performance, though margin pressures indicated evolving challenges in funding environment. (Reuters)",Reuters
25-04-2025,Reliance Industries,"Reliance Industries reported strong quarterly earnings with growth driven by retail and digital segments, which offset weakness in the O2C business due to lower margins. Jio delivered strong EBITDA growth supported by tariff hikes and improved ARPU, while retail saw efficiency-led profit expansion. The company continued to invest in renewable energy infrastructure, including solar manufacturing capacity. However, energy segment performance remained volatile due to global macro conditions. Management emphasized long-term transformation toward green energy and digital ecosystem. Overall, the quarter reflected structural shift in earnings composition, with consumer businesses becoming primary growth drivers. (Reuters)",Reuters
18-07-2025,Reliance Industries,"Reliance Industries reported steady earnings growth with continued expansion in telecom and retail segments. Jio maintained strong subscriber growth and monetization, while retail continued to scale operations. The O2C segment showed mixed performance due to fluctuating global energy prices and margin pressures. The company maintained strong cash flows and continued investments in renewable energy and advanced technology initiatives. Management highlighted focus on long-term growth through diversification into new energy, AI, and digital platforms. Overall, the quarter reflected stable performance with evolving business mix, as Reliance continued its transition toward a multi-sector growth model.",Company Filings
19-07-2025,HDFC Bank,"HDFC Bank reported steady earnings growth with net profit increasing around 12% year-on-year, supported by growth in net interest income and stable loan expansion. Margins remained under pressure due to higher funding costs, while provisioning increased significantly, reflecting cautious stance on potential risks. Deposit growth improved, helping support balance sheet expansion. The bank announced bonus shares and dividend, signaling confidence in long-term growth. Management emphasized focus on improving efficiency and optimizing post-merger operations. Digital banking continued to drive customer engagement. Overall, the quarter reflected stable performance with improving balance sheet dynamics, though profitability remained influenced by provisioning and funding cost pressures. (Bajaj Broking)",Company Filings
19-07-2025,ICICI Bank,"ICICI Bank reported strong quarterly performance with net profit rising around 15%, supported by robust loan growth and improving core lending income. Net interest income increased significantly, driven by expansion in domestic loans and strong retail demand. Asset quality remained stable, with low NPAs and controlled credit costs. The bank continued to strengthen its balance sheet with strong deposit growth. Management highlighted focus on sustaining growth momentum while maintaining asset quality. Digital banking and analytics-driven lending remained key growth drivers. Overall, the quarter reflected strong execution and continued leadership in the banking sector. (Reuters)",Reuters
23-07-2025,INFY,"INFY reported steady earnings with revenue growth of around 7–8% year-on-year, supported by large deal wins and strong digital demand. Net profit increased, reflecting operational efficiency and strong execution. However, management maintained cautious outlook due to global uncertainties. Digital and AI-led services emerged as key growth drivers. The company continued to generate strong cash flows and maintain a strong balance sheet. Overall, the quarter reflected stable performance with gradual recovery in demand, though macroeconomic risks remained. (Reuters)",Reuters
10-10-2025,TCS,TCS reported stable quarterly earnings with moderate revenue growth and steady margins supported by diversified client portfolio and strong deal execution. ,Reuters
10-10-2025,TCS,The company maintained consistent performance with continued focus on digital transformation services and enterprise modernization projects,Analyst Report
10-10-2025,TCS,Quarterly results showed resilience in IT services demand with steady growth across key verticals including BFSI and technology sectors,Moneycontrol
10-10-2025,TCS,TCS maintained strong operational performance with steady margins and diversified revenue streams reducing impact of sector-specific volatility,Analyst Report
10-10-2025,TCS,TCS demonstrated resilience in earnings with stable demand environment and continued focus on cost optimization and operational efficiency,Reuters
16-10-2025,INFY,"INFY reported strong quarterly performance with revenue growth of around 8.5% and profit growth exceeding expectations. However, the company narrowed its annual revenue guidance due to ongoing macroeconomic uncertainty and cautious client spending. Large deal bookings remained strong, though slightly lower sequentially. Operating margins remained stable. Management highlighted continued focus on cost efficiency and large deal execution. Overall, the quarter reflected stable execution with cautious outlook, balancing strong operational performance with uncertain global demand conditions. (Reuters)",Reuters
18-10-2025,ICICI Bank,"ICICI Bank reported steady earnings growth with improvement in net interest income supported by loan growth across segments. However, treasury income declined due to adverse bond market conditions, impacting overall profitability. Loan growth remained strong in SME and business banking segments, while retail growth moderated. Asset quality remained stable with low NPAs. Management highlighted focus on managing interest rate risks and maintaining balance sheet strength. Overall, the quarter reflected stable core performance, though external market conditions impacted non-core income streams. (Reuters)",Reuters
18-10-2025,ICICI Bank,ICICI Bank reported strong quarterly performance with robust loan growth and improving asset quality while maintaining steady net interest margins,Reuters
18-10-2025,ICICI Bank,The bank delivered consistent earnings growth supported by strong retail lending and improved deposit mobilization despite macroeconomic uncertainties,Analyst Report
18-10-2025,ICICI Bank,Quarterly results highlighted stable profitability with diversified lending portfolio helping offset sector-specific risks and volatility,Moneycontrol
18-10-2025,ICICI Bank,ICICI Bank reported improving financial metrics with consistent growth in operating income and stable risk management framework supporting profitability,Company Filing
18-10-2025,ICICI Bank,The bank demonstrated strong financial resilience with diversified income streams supporting stable earnings despite market volatility,Reuters
19-10-2025,HDFC Bank,HDFC Bank reported stable quarterly earnings with moderate growth in revenue and profitability supported by strong retail lending demand,Reuters
19-10-2025,HDFC Bank,The bank delivered consistent performance with stable margins and improving asset quality trends reflecting strong risk management practices,Analyst Report
19-10-2025,HDFC Bank,Quarterly results showed balanced growth across segments with retail and corporate lending contributing to overall revenue expansion,Moneycontrol
19-10-2025,HDFC Bank,HDFC Bank demonstrated steady operational performance with consistent profitability and strong capital position supporting growth,Reuters
19-10-2025,HDFC Bank,HDFC Bank maintained stable earnings trajectory with strong fundamentals and diversified income streams supporting resilience,Reuters
20-10-2025,RELIANCE Industries,Reliance Industries reported quarterly earnings supported by strong telecom growth and retail expansion while energy segment faced margin pressure due to global market conditions,Moneycontrol
20-10-2025,RELIANCE Industries,Revenue growth remained steady across segments with Jio and retail driving performance though profitability was impacted by higher input costs in refining business,Reuters
20-10-2025,RELIANCE Industries,The company delivered stable EBITDA growth with diversified business model helping offset weakness in oil-to-chemicals segment,Analyst Report
20-10-2025,RELIANCE Industries,Reliance Industries highlighted strong consumer demand trends supporting retail and telecom growth despite external macro challenges,Reuters
20-10-2025,RELIANCE Industries,Earnings reflected stable operating performance with diversified business segments reducing impact of volatility in global energy markets,Analyst Report
20-10-2025,RELIANCE Industries,Quarterly results indicated balanced growth across segments with telecom and retail offsetting energy sector challenges,Reuters
25-10-2025,INFY,INFY reported quarterly earnings with moderate revenue growth while profitability remained stable supported by diversified client base and digital services demand,Reuters
25-10-2025,INFY,The company delivered consistent performance with steady margins and continued focus on large deal wins across global markets,Analyst Report
25-10-2025,INFY,Quarterly results reflected stable growth in digital services while traditional services faced pressure due to cautious client spending,Moneycontrol
25-10-2025,INFY,INFY maintained stable earnings with diversified revenue streams helping mitigate impact of macroeconomic uncertainty on client spending,Analyst Report
25-10-2025,INFY,INFY demonstrated resilience in earnings with steady demand for digital services and continued focus on operational efficiency,Reuters
12-01-2026,TCS,TCS reported Q3 FY26 results showing steady sequential growth supported by strong deal wins and increasing demand for digital transformation services,Company Filing
12-01-2026,TCS,Quarterly performance reflected stable revenue growth with continued momentum in enterprise transformation and cloud modernization services,Analyst Report
12-01-2026,TCS,TCS maintained consistent profitability with strong execution and stable client spending despite macroeconomic uncertainty in key global markets,Moneycontrol
12-01-2026,TCS,Management highlighted continued growth in digital services with strong deal pipeline supporting long-term revenue visibility,Company Statement
12-01-2026,TCS,TCS continued to invest in AI and cloud services with increasing enterprise adoption supporting long-term business transformation initiatives,Company Statement
12-01-2026,TCS,The company reported strong client additions and expansion of existing accounts driving consistent revenue growth across segments,Moneycontrol
12-01-2026,TCS,TCS reported consistent performance with stable revenue growth driven by enterprise demand for digital transformation and cloud services,Moneycontrol
12-01-2026,TCS,Quarterly earnings reflected balanced growth across regions with strong contribution from large clients and strategic deals,Analyst Report
15-01-2026,HDFC Bank,HDFC Bank reported steady Q3 FY26 earnings with consistent loan growth and stable profitability supported by balanced retail and corporate lending,Moneycontrol
15-01-2026,HDFC Bank,Quarterly performance reflected stable margins and controlled credit costs despite macroeconomic uncertainties impacting banking sector outlook,Analyst Report
15-01-2026,HDFC Bank,HDFC Bank maintained strong balance sheet with steady deposit growth supporting lending expansion and operational stability,Company Filing
15-01-2026,HDFC Bank,HDFC Bank continued to show resilience in earnings supported by diversified loan portfolio and strong deposit franchise,Moneycontrol
15-01-2026,HDFC Bank,The bank maintained stable asset quality with controlled non-performing assets and adequate provisioning against potential risks,Analyst Report
15-01-2026,HDFC Bank,HDFC Bank reported steady growth in advances driven by retail and SME segments supporting revenue expansion,Moneycontrol
15-01-2026,HDFC Bank,Quarterly earnings reflected stable performance across segments with balanced growth and disciplined cost management,Analyst Report
16-01-2026,INFY,INFY reported steady quarterly performance with improved revenue outlook driven by strong deal wins and growing demand for digital transformation services,Reuters
16-01-2026,INFY,The company raised its revenue guidance supported by robust deal pipeline of around $4.8 billion and improving enterprise demand across sectors,Reuters
16-01-2026,INFY,INFY delivered stable earnings with growth in financial services segment and continued expansion in AI and cloud offerings supporting long-term outlook,Analyst Report
16-01-2026,INFY,The company saw improved investor sentiment following strong guidance and deal momentum indicating potential recovery in IT sector demand,Moneycontrol
16-01-2026,INFY,The company continued to invest in cloud and AI capabilities with increasing adoption by global clients driving future growth opportunities,Company Statement
16-01-2026,INFY,INFY reported steady growth across regions with North America and Europe contributing significantly to overall revenue performance,Moneycontrol
16-01-2026,INFY,INFY reported consistent performance with strong client additions and expansion of existing accounts driving revenue growth,Moneycontrol
16-01-2026,INFY,Quarterly earnings reflected balanced growth across segments with stable margins and disciplined cost management supporting profitability,Analyst Report
17-01-2026,ICICI Bank,ICICI Bank reported Q3 FY26 earnings with strong loan growth and stable profitability supported by steady net interest income expansion and controlled credit costs,Company Filing
17-01-2026,ICICI Bank,Core operating profit grew moderately year-on-year with net interest income rising nearly 7.7 percent reflecting stable lending activity and improved margins ,Times of India
17-01-2026,ICICI Bank,The bank maintained stable asset quality with consistent NPA levels while increasing provisions to account for sector-specific risks in agriculture and unsecured lending,Analyst Report
17-01-2026,ICICI Bank,ICICI Bank continued to show resilience in earnings driven by strong deposit growth and diversified loan portfolio supporting overall profitability,Moneycontrol
17-01-2026,ICICI Bank,The bank reported steady deposit growth supporting lending expansion and maintaining healthy balance between assets and liabilities,Moneycontrol
17-01-2026,ICICI Bank,Earnings performance reflected balanced growth across segments with stable margins and controlled credit costs despite external economic pressures,Analyst Report
17-01-2026,ICICI Bank,The bank maintained stable net interest margin around 4.3 percent indicating consistent profitability in core lending business ,Moneycontrol
17-01-2026,ICICI Bank,ICICI Bank reported continued expansion in loan book supported by demand from retail and SME segments strengthening revenue growth,Moneycontrol
20-01-2026,RELIANCE Industries,Reliance Industries reported moderate quarterly performance with steady revenue growth supported by telecom and retail while energy segment showed mixed trends,Moneycontrol
20-01-2026,RELIANCE Industries,Reliance earnings reflected stable performance with continued expansion in digital and retail businesses offsetting volatility in refining and petrochemical operations,Reuters
20-01-2026,RELIANCE Industries,The company maintained strong operational performance with growth in consumer-facing segments though margins remained sensitive to global energy price movements,Analyst Report
20-01-2026,RELIANCE Industries,Reliance earnings indicated continued investment in digital ecosystem with focus on long term growth opportunities in telecom and technology segments,Moneycontrol
20-01-2026,RELIANCE Industries,The company maintained strong balance sheet and cash flows supporting capital expenditure across multiple business verticals,Analyst Report
20-01-2026,RELIANCE Industries,Reliance reported consistent growth in consumer businesses while energy segment remained volatile reflecting global demand supply dynamics,Moneycontrol
09-04-2026,TCS,TCS reported Q4 FY26 net profit growth of around 12 percent year-on-year to ₹13718 crore with revenue rising nearly 10 percent supported by strong deal wins and stable demand,Economic Times
09-04-2026,TCS,TCS delivered better-than-expected quarterly earnings with strong revenue growth and resilient demand despite concerns about AI disruption  supported by large deal pipeline and enterprise spending,Reuters
09-04-2026,TCS,The company reported revenue of around ₹70698 crore with continued growth driven by large clients and strong order book reflecting stable IT services demand globally,Moneycontrol
09-04-2026,TCS,TCS reported strong deal momentum with total contract value reaching around $12 billion in the quarter indicating strong future revenue visibility,Company Filing
09-04-2026,TCS,Net profit increased sequentially and year-on-year reflecting operational stability and benefit from currency movements supporting profitability in the quarter,Analyst Report
09-04-2026,TCS,The company highlighted AI-led growth strategy with annualized AI revenue crossing $2.3 billion indicating increasing adoption of enterprise AI solutions,Company Statement
09-04-2026,TCS,TCS maintained stable margins despite global macro uncertainty with diversified client base supporting consistent performance across geographies,Analyst Commentary
09-04-2026,TCS,TCS announced final dividend along with earnings reflecting strong cash generation and commitment to shareholder returns,Company Filing
09-04-2026,TCS,Full year FY26 results showed stable revenue growth with strong deal pipeline and continued investment in AI and digital capabilities,Company Presentation
09-04-2026,TCS,The company indicated cautious outlook due to global macro uncertainty while maintaining confidence in long-term growth driven by digital adoption,Analyst Commentary
09-04-2026,TCS,TCS highlighted strong performance across major markets with North America contributing significantly to overall revenue growth,Reuters
09-04-2026,TCS,Operating margins remained stable with efficiency improvements and cost management supporting profitability despite external pressures,Analyst Report
09-04-2026,TCS,Analysts noted strong deal wins and pipeline strength indicating continued growth momentum despite short-term macro challenges,Analyst Report
09-04-2026,TCS,TCS emphasized focus on innovation and digital capabilities to drive future growth and maintain competitive position in global IT services market,Company Statement
09-04-2026,TCS,The company maintained strong balance sheet and cash flows supporting ongoing investments in technology and workforce development,Company Filing
09-04-2026,TCS,The company expects sustained growth driven by AI adoption enterprise transformation and strong deal pipeline across global markets,Analyst Commentary
09-04-2026,TCS,TCS earnings reinforced its leadership in IT services with consistent profitability strong execution and long-term growth visibility,Moneycontrol
18-04-2026,ICICI Bank,ICICI Bank reported Q4 FY26 net profit growth of around 8.5 percent to ₹13702 crore supported by strong loan growth and stable asset quality while maintaining healthy margins,Economic Times
18-04-2026,ICICI Bank,ICICI Bank delivered steady quarterly performance with revenue growth driven by higher lending activity and improved deposit base while asset quality remained stable across segments,Moneycontrol
18-04-2026,ICICI Bank,The bank reported total income growth with improved credit demand though margins remained slightly sensitive to interest rate movements and funding costs,Analyst Report
18-04-2026,ICICI Bank,ICICI Bank announced dividend alongside earnings with management highlighting continued focus on retail lending growth and maintaining strong balance sheet position,Company Filing
18-04-2026,ICICI Bank,Quarterly performance reflected stable operating metrics with net interest income growth and consistent expansion in loan book across retail and corporate segments,Reuters
18-04-2026,ICICI Bank,The bank crossed ₹50000 crore annual profit mark indicating strong full-year performance driven by credit growth and improving asset quality trends,Times of India
18-04-2026,ICICI Bank,ICICI Bank reported total income growth of nearly 18 percent year-on-year in Q4 FY26 reflecting strong expansion in lending activities,Reuters
18-04-2026,ICICI Bank,Loan growth remained key driver of earnings with strong demand across retail and corporate segments contributing to improved financial performance,Analyst Report
18-04-2026,ICICI Bank,Management commentary highlighted continued focus on digital banking expansion and operational efficiency improvements supporting long-term growth,Company Statement
18-04-2026,ICICI Bank,ICICI Bank maintained strong capital adequacy and liquidity position supporting ongoing credit expansion and risk management strategy,Company Filing
18-04-2026,ICICI Bank,Analysts highlighted strong performance driven by improving asset quality and sustained credit demand across sectors contributing to earnings growth,Analyst Report
18-04-2026,ICICI Bank,The bank continued to strengthen its retail lending franchise while maintaining disciplined underwriting standards and risk controls,Company Statement
18-04-2026,ICICI Bank,ICICI Bank's earnings reflected strong operational efficiency and continued focus on cost management improving overall profitability metrics,Analyst Commentary
18-04-2026,ICICI Bank,ICICI Bank highlighted continued investments in digital platforms and technology to improve customer experience and operational efficiency,Company Statement
18-04-2026,ICICI Bank,The bank expects sustained credit growth and stable margins driven by domestic demand and improving economic conditions,Analyst Report
